spearman_r,mae,r2,method
0.8220301221488118,0.3989705443382263,0.6750510334968567,CNN
0.8221447863757076,0.3987821936607361,0.6753847599029541,CNN
0.8221312149004405,0.3990122377872467,0.6751802563667297,CNN
0.8220834231503927,0.3991418182849884,0.6751581430435181,CNN
0.8221085006221699,0.3990336954593658,0.6752410531044006,CNN
0.822191580642402,0.3990028202533722,0.6752015352249146,CNN
0.8222182225070304,0.398961067199707,0.6752187013626099,CNN
0.8222960637961002,0.3988938927650451,0.675396740436554,CNN
0.8221892797440057,0.3990707993507385,0.6751875281333923,CNN
0.822194478870848,0.3989491760730743,0.6754190921783447,CNN
0.8221710935767611,0.3990285396575928,0.6753320693969727,CNN
0.8220475739088717,0.3990540206432342,0.675105094909668,CNN
0.8222491928694233,0.3989282250404358,0.6753630638122559,CNN
0.8221665705252104,0.398860901594162,0.6753509044647217,CNN
0.8219428990722025,0.3991241157054901,0.6748523712158203,CNN
0.8220514916505757,0.3989778161048889,0.6751730442047119,CNN
0.8220459978724769,0.3990403413772583,0.6750664710998535,CNN
0.8222995149533854,0.3987151980400085,0.6756258606910706,CNN
0.8220281743853829,0.3991119563579559,0.675058901309967,CNN
0.8221331362437948,0.3989936709403991,0.6752917766571045,CNN
0.8222698361213344,0.3990226089954376,0.6752320528030396,CNN
0.8220567557670194,0.399186760187149,0.6750115156173706,CNN
0.8224557387353717,0.3987952768802643,0.6756536960601807,CNN
0.822021504979299,0.3989265263080597,0.6750627756118774,CNN
0.8221225756575193,0.3988144993782043,0.6752432584762573,CNN
0.82233885161622,0.3987696468830108,0.6756276488304138,CNN
0.8221476753710254,0.3989800214767456,0.6752442121505737,CNN
0.8221875378412226,0.3987704515457153,0.6755220890045166,CNN
0.8221267597642189,0.3988929092884063,0.6751291751861572,CNN
0.8222233332824822,0.3989889919757843,0.6751981377601624,CNN
0.8221525858796666,0.399040549993515,0.6751261949539185,CNN
0.8222049446193946,0.3990796208381653,0.6753143668174744,CNN
0.8220135076101882,0.3991113901138305,0.6750472784042358,CNN
0.8222089834040209,0.3988500535488128,0.6756055355072021,CNN
0.8220609338406467,0.3989554047584533,0.6749953031539917,CNN
0.8219605933061234,0.3991647362709045,0.6748989224433899,CNN
0.8222951793685782,0.3988977074623108,0.6755099296569824,CNN
0.8222929653140562,0.3988255858421325,0.6754494905471802,CNN
0.8221304996067809,0.399121880531311,0.6751616597175598,CNN
0.8220345797550346,0.3991470038890838,0.6750771999359131,CNN
0.8223036401092907,0.3990297019481659,0.6754316091537476,CNN
0.8221023097085984,0.3990917801856994,0.675010085105896,CNN
0.8219594244911537,0.3991859555244446,0.6749515533447266,CNN
0.8221535809576365,0.3990144431591034,0.6751655340194702,CNN
0.8219436452933095,0.398953765630722,0.6751619577407837,CNN
0.8222698582062875,0.3989388048648834,0.6753208637237549,CNN
0.8222479455959507,0.3989565372467041,0.675356388092041,CNN
0.8222404405694488,0.3989239335060119,0.6753768920898438,CNN
0.8220309711114079,0.3988842368125915,0.6752258539199829,CNN
0.8221772459737348,0.3989898860454559,0.6753109693527222,CNN
0.822078388437059,0.3988264203071594,0.6753311157226562,CNN
0.8220558252286546,0.3989521265029907,0.6750209331512451,CNN
0.8222356413713511,0.3988435566425323,0.6753547191619873,CNN
0.8220401645640336,0.3991903364658355,0.6750756502151489,CNN
0.822000667981029,0.3992744088172912,0.6747795343399048,CNN
0.8219464411477809,0.3991332352161407,0.6748279333114624,CNN
0.8222219455362387,0.3989315330982208,0.6752305626869202,CNN
0.8219069877408816,0.3991195261478424,0.6749005317687988,CNN
0.8219864422891926,0.399100661277771,0.674953818321228,CNN
0.8219936058276663,0.3990567624568939,0.6749268770217896,CNN
0.8221750668799254,0.3990175724029541,0.6751251220703125,CNN
0.8222313824013373,0.3989424407482147,0.6753760576248169,CNN
0.8222599568066612,0.399052232503891,0.6752841472625732,CNN
0.8222263849164467,0.3990550935268402,0.6753026247024536,CNN
0.8222555307284204,0.3988759517669678,0.6755772829055786,CNN
0.8219083666680537,0.3991034030914306,0.6748300194740295,CNN
0.8223466570066431,0.398770123720169,0.6755512952804565,CNN
0.8222117127856942,0.3988368213176727,0.6754510402679443,CNN
0.8222004391172001,0.3990511894226074,0.6752438545227051,CNN
0.8220482188160273,0.3989774882793426,0.6752485632896423,CNN
0.8223652473237932,0.3987355828285217,0.6756652593612671,CNN
0.8222119455113392,0.398808479309082,0.675391674041748,CNN
0.8221413626400083,0.3989825844764709,0.675220787525177,CNN
0.8220273164960379,0.3990055620670318,0.6749285459518433,CNN
0.8219015480778187,0.399059534072876,0.6750816702842712,CNN
0.821928056484615,0.3991263210773468,0.6749234199523926,CNN
0.8223531872844649,0.3988197445869446,0.6755225658416748,CNN
